1	36526	0.39	0.2	5.3	8.3
2	36527	0.20	0.2	5.9	8.8
3	36528	2.78	0.6	7.5	9.5
4	36529	5.17	0.8	6.9	10.2
5	36530	0.26	0.3	2	7.1
6	36531	1.93	0.6	6.3	8.6
7	36532	0.14	0.4	5	7.7
8	36533	1.19	0.5	5.2	8.6
9	36534	0.00	0.1	1	6.5
10	36535	0.00	0.2	-0.6	5.3
11	36536	0.00	0.3	-1.2	3.9
12	36537	0.00	0.2	-1.7	0.6
13	36538	1.60	0.4	-0.2	2
14	36539	0.00	0.3	1.1	6
15	36540	0.00	0.3	0.9	4
16	36541	0.59	0.3	1.7	6.5
17	36542	0.90	0.4	3.5	8
18	36543	1.47	0.7	5.3	8.2
19	36544	1.06	0.5	2.5	5.6
20	36545	0.59	0.4	0.5	5.2
21	36546	3.16	0.4	3.7	6.6
22	36547	9.34	0.4	2.9	5.2
23	36548	0.30	0.6	-0.6	5.6
24	36549	0.00	0.1	-4	0.4
25	36550	0.00	0.3	-3.4	2.1
26	36551	0.00	0.7	-1.2	2.5
27	36552	0.00	0.7	-2.7	2.4
28	36553	6.91	0.6	-1.3	4.8
29	36554	1.10	0.9	4.6	11
30	36555	0.57	0.9	9.5	11.3
31	36556	0.00	1.3	9.7	11.2
32	36557	2.60	1.1	7.9	9.6
33	36558	0.71	0.8	5.2	8.2
34	36559	0.14	0.7	2.7	7.9
35	36560	2.14	0.9	6.2	9.2
36	36561	0.00	1.4	4.7	12
37	36562	3.19	1.0	5.2	9.3
38	36563	5.10	0.9	5.4	9.9
39	36564	7.10	1.5	7.9	12.6
40	36565	0.20	1.3	5.3	9.1
41	36566	10.77	1.0	3.1	7.4
42	36567	0.00	0.8	0.2	8.1
43	36568	3.06	1.0	2.4	7.2
44	36569	0.14	1.0	2.1	8.3
45	36570	3.87	0.9	-0.2	9
46	36571	2.90	1.1	5.6	9.1
47	36572	2.30	1.2	2.7	6.2
48	36573	4.18	0.9	0.8	6.1
49	36574	3.35	1.0	2.5	9.4
50	36575	1.73	0.9	3.1	7.7
51	36576	0.00	0.7	0.4	7.1
52	36577	2.15	0.7	-0.3	6.6
53	36578	0.14	0.6	2.2	7.2
54	36579	1.70	0.9	4	10
55	36580	13.36	1.2	6.8	10.2
56	36581	0.27	1.4	2.1	11.2
57	36582	0.00	1.1	0.4	8.9
58	36583	0.00	1.9	2.5	13.4
59	36584	5.01	1.6	5.7	13.7
60	36585	4.78	1.3	4.8	9.1
61	36586	1.67	1.1	3.8	7.5
62	36587	3.59	1.0	0.6	7.8
63	36588	11.56	0.9	4	9.9
64	36589	0.00	1.3	0.8	4.9
65	36590	0.07	1.2	-0.5	7.7
66	36591	0.20	1.7	1.9	9.4
